-0.6186,2.3024,0.5646,-2.9631,-0.6185,0.0805
-0.6106,2.2441,0.5865,-2.9249,-0.6106,0.0795
-0.6017,2.1858,0.6038,-2.8819,-0.6017,0.0784
-0.5916,2.1278,0.6159,-2.8339,-0.5917,0.0772
-0.5804,2.0702,0.6224,-2.7806,-0.5805,0.0759
-0.5677,2.0135,0.6228,-2.7218,-0.5679,0.0744
-0.5535,1.9577,0.6168,-2.6573,-0.5536,0.0729
-0.5373,1.9033,0.6039,-2.5871,-0.5376,0.0713
-0.519,1.8504,0.5839,-2.5112,-0.5193,0.0695
-0.4982,1.7992,0.5566,-2.4295,-0.4986,0.0675
-0.4743,1.75,0.5219,-2.3422,-0.4747,0.0654
-0.4468,1.7028,0.4799,-2.2494,-0.4473,0.0631
-0.4149,1.6576,0.431,-2.1514,-0.4155,0.0607
-0.3778,1.6144,0.3756,-2.0488,-0.3785,0.058
-0.3348,1.5729,0.3145,-1.942,-0.3355,0.0551
-0.2854,1.5329,0.2487,-1.8317,-0.2862,0.0519
-0.2306,1.4943,0.1785,-1.7183,-0.2314,0.0485
-0.1732,1.4575,0.1037,-1.6021,-0.1742,0.0447
-0.1181,1.4233,0.0232,-1.4826,-0.1191,0.0405
-0.0696,1.3924,-0.064,-1.3597,-0.0707,0.0359
-0.0297,1.3645,-0.1569,-1.234,-0.0308,0.0312
0.0023,1.3386,-0.253,-1.1072,0.0011,0.0265
0.0279,1.313,-0.3486,-0.9814,0.0267,0.0219
0.0489,1.2864,-0.4404,-0.8586,0.0477,0.0175
0.0665,1.2576,-0.526,-0.7401,0.0653,0.0134
0.0817,1.2259,-0.6036,-0.627,0.0805,0.0095
0.095,1.1912,-0.6725,-0.5198,0.0938,0.006
0.1069,1.1533,-0.7323,-0.4188,0.1056,0.0027
0.1175,1.1124,-0.7832,-0.324,0.1162,-0.0002
0.1271,1.0687,-0.8254,-0.2355,0.1258,-0.0029
0.1359,1.0227,-0.8591,-0.1532,0.1345,-0.0054
0.1438,0.9746,-0.885,-0.0769,0.1424,-0.0077
0.1509,0.9248,-0.9033,-0.0068,0.1496,-0.0098
0.1574,0.8737,-0.9145,0.0575,0.156,-0.0117
0.1633,0.8217,-0.9191,0.116,0.1618,-0.0135
0.1685,0.7691,-0.9177,0.1688,0.1671,-0.0151
0.1732,0.7161,-0.9106,0.2162,0.1717,-0.0166
0.1773,0.6632,-0.8984,0.2584,0.1758,-0.018
0.181,0.6105,-0.8815,0.2955,0.1795,-0.0193
0.1842,0.5583,-0.8604,0.3279,0.1826,-0.0206
0.1869,0.5068,-0.8356,0.3557,0.1854,-0.0217
0.1893,0.4562,-0.8075,0.3794,0.1877,-0.0228
0.1912,0.4067,-0.7767,0.3992,0.1897,-0.0238
0.1929,0.3583,-0.7435,0.4153,0.1913,-0.0248
0.1942,0.3113,-0.7084,0.4282,0.1926,-0.0257
0.1952,0.2658,-0.6719,0.4381,0.1936,-0.0266
0.196,0.2218,-0.6345,0.4454,0.1943,-0.0274
0.1965,0.1796,-0.5964,0.4504,0.1948,-0.0282
0.1967,0.1391,-0.5582,0.4534,0.195,-0.0289
0.1968,0.1005,-0.5202,0.4547,0.1951,-0.0296
0.1968,0.064,-0.4829,0.4546,0.195,-0.0302
0.1965,0.0295,-0.4465,0.4533,0.1948,-0.0308
0.1962,-0.0029,-0.4115,0.4512,0.1944,-0.0314
0.1957,-0.0329,-0.3781,0.4485,0.1939,-0.032
0.1951,-0.0607,-0.3466,0.4453,0.1933,-0.0325
0.1945,-0.0861,-0.3173,0.4419,0.1926,-0.033
0.1938,-0.109,-0.2904,0.4384,0.1919,-0.0335
0.1931,-0.1295,-0.266,0.435,0.1912,-0.034
0.1923,-0.1475,-0.2443,0.4317,0.1904,-0.0345
0.1916,-0.1629,-0.2254,0.4287,0.1897,-0.0349
0.1908,-0.1758,-0.2093,0.426,0.1889,-0.0354
0.1901,-0.1862,-0.1962,0.4237,0.1882,-0.0359
0.1894,-0.1939,-0.186,0.4218,0.1875,-0.0364
0.1888,-0.1991,-0.1788,0.4203,0.1868,-0.0369
0.1882,-0.2018,-0.1747,0.4193,0.1862,-0.0374
0.1876,-0.2018,-0.1735,0.4187,0.1856,-0.0379
0.1872,-0.1993,-0.1754,0.4186,0.1851,-0.0384
0.1867,-0.1942,-0.1803,0.4189,0.1846,-0.0389
0.1863,-0.1865,-0.1882,0.4197,0.1842,-0.0395
0.186,-0.1762,-0.1991,0.4209,0.1839,-0.04
0.1857,-0.1634,-0.213,0.4225,0.1835,-0.0406
0.1854,-0.148,-0.2298,0.4245,0.1832,-0.0412
0.1851,-0.1301,-0.2495,0.4268,0.1829,-0.0417
0.1848,-0.1096,-0.272,0.4295,0.1827,-0.0423
0.1846,-0.0866,-0.2973,0.4323,0.1824,-0.0429
0.1843,-0.0611,-0.3252,0.4352,0.182,-0.0434
0.1839,-0.0332,-0.3555,0.4382,0.1817,-0.044
0.1835,-0.0028,-0.3882,0.441,0.1813,-0.0445
